手臂運動分析報告
==================================================

影片資訊:
解析度: 1280x720
幀率: 31.0 FPS
總幀數: 127
檔案大小: 4.94 MB

運動數據:
手掌最大速度: 11.65 m/s
手掌平均速度: 1.49 m/s
手肘最大速度: 7.83 m/s
手肘平均速度: 1.00 m/s
最大角度: 180.0 度
最小角度: 0.0 度

時間點分析:
時間 0.00s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 162.6 度
時間 2.97s: 手掌速度 6.27 m/s, 手肘速度 3.96 m/s, 角度 12.7 度
時間 3.00s: 手掌速度 5.01 m/s, 手肘速度 2.11 m/s, 角度 21.7 度
時間 3.03s: 手掌速度 2.81 m/s, 手肘速度 0.74 m/s, 角度 64.1 度
時間 3.06s: 手掌速度 0.40 m/s, 手肘速度 0.27 m/s, 角度 59.3 度
時間 3.10s: 手掌速度 1.98 m/s, 手肘速度 0.18 m/s, 角度 36.1 度
時間 3.13s: 手掌速度 1.12 m/s, 手肘速度 1.76 m/s, 角度 48.6 度
時間 3.16s: 手掌速度 1.61 m/s, 手肘速度 0.80 m/s, 角度 40.3 度
時間 3.19s: 手掌速度 1.07 m/s, 手肘速度 1.39 m/s, 角度 42.0 度
時間 3.23s: 手掌速度 5.36 m/s, 手肘速度 0.54 m/s, 角度 97.1 度
時間 3.26s: 手掌速度 3.95 m/s, 手肘速度 1.61 m/s, 角度 49.8 度
時間 3.29s: 手掌速度 2.53 m/s, 手肘速度 0.46 m/s, 角度 13.4 度
時間 3.32s: 手掌速度 4.40 m/s, 手肘速度 2.42 m/s, 角度 4.7 度
時間 3.35s: 手掌速度 3.49 m/s, 手肘速度 1.97 m/s, 角度 3.1 度
時間 3.39s: 手掌速度 4.15 m/s, 手肘速度 2.24 m/s, 角度 9.9 度
時間 3.42s: 手掌速度 3.71 m/s, 手肘速度 1.97 m/s, 角度 18.8 度
時間 3.45s: 手掌速度 2.58 m/s, 手肘速度 2.33 m/s, 角度 9.1 度
時間 3.48s: 手掌速度 3.60 m/s, 手肘速度 2.04 m/s, 角度 13.9 度
時間 3.52s: 手掌速度 3.32 m/s, 手肘速度 2.36 m/s, 角度 13.4 度
時間 3.55s: 手掌速度 2.92 m/s, 手肘速度 1.88 m/s, 角度 15.9 度
時間 3.58s: 手掌速度 2.92 m/s, 手肘速度 2.38 m/s, 角度 14.2 度
時間 3.61s: 手掌速度 2.85 m/s, 手肘速度 2.18 m/s, 角度 14.3 度
時間 3.65s: 手掌速度 2.29 m/s, 手肘速度 2.09 m/s, 角度 14.1 度
時間 3.68s: 手掌速度 1.29 m/s, 手肘速度 1.52 m/s, 角度 9.2 度
時間 3.71s: 手掌速度 0.88 m/s, 手肘速度 0.63 m/s, 角度 14.0 度
時間 3.74s: 手掌速度 0.57 m/s, 手肘速度 0.38 m/s, 角度 21.8 度
時間 3.77s: 手掌速度 0.25 m/s, 手肘速度 0.65 m/s, 角度 24.2 度
時間 3.81s: 手掌速度 0.18 m/s, 手肘速度 0.46 m/s, 角度 22.8 度
時間 3.84s: 手掌速度 0.77 m/s, 手肘速度 0.40 m/s, 角度 19.7 度
時間 3.87s: 手掌速度 0.65 m/s, 手肘速度 0.20 m/s, 角度 17.6 度
時間 3.90s: 手掌速度 0.74 m/s, 手肘速度 0.28 m/s, 角度 23.5 度
時間 3.94s: 手掌速度 2.43 m/s, 手肘速度 0.54 m/s, 角度 11.2 度
時間 3.97s: 手掌速度 1.84 m/s, 手肘速度 0.54 m/s, 角度 5.8 度
時間 4.00s: 手掌速度 2.24 m/s, 手肘速度 1.98 m/s, 角度 5.5 度
時間 4.03s: 手掌速度 2.46 m/s, 手肘速度 2.06 m/s, 角度 4.5 度
時間 4.06s: 手掌速度 0.95 m/s, 手肘速度 0.57 m/s, 角度 4.5 度
